Product,Cancel_Qty,Cancel_Orders,Valid_Qty,Cancel_Rate
PURPLE ENAMEL FLOWER HAIR TIE,6.0,1.0,6.0,46.15384615384615
PINK DAISY BAG CHARM,6.0,1.0,6.0,46.15384615384615
DIAMANTE HAIR GRIP PACK/2 PERIDOT,6.0,1.0,6.0,46.15384615384615
PANTRY CHOPPING BOARD,946.0,6.0,1138.0,45.37170263788969
PINK FOXGLOVE ARTIIFCIAL FLOWER,12.0,1.0,14.0,44.44444444444444
WHITE ENAMEL FLOWER HAIR TIE,6.0,1.0,7.0,42.857142857142854
GREEN ENAMEL FLOWER HAIR TIE,6.0,1.0,7.0,42.857142857142854
WHITE BEADED GARLAND STRING 20LIGHT,3.0,2.0,3.0,42.857142857142854
BLACK DIAMANTE EXPANDABLE RING,16.0,3.0,21.0,42.10526315789473
BUTTERFLY HAIR BAND,12.0,2.0,16.0,41.37931034482759
GOLDIE LOOKING MIRROR,12.0,2.0,16.0,41.37931034482759
GLASS CAKE COVER AND PLATE,2.0,1.0,2.0,40.0
DIAMANTE HAIR GRIP PACK/2 MONTANA,6.0,1.0,8.0,40.0
AMETHYST DIAMANTE EXPANDABLE RING,9.0,2.0,13.0,39.130434782608695
RECIPE BOX WITH METAL HEART,5.0,2.0,7.0,38.46153846153847
TEA TIME PARTY BUNTING,1424.0,7.0,2291.0,38.32077502691066
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,6.0,1.0,9.0,37.5
DIAMANTE HAIR GRIP PACK/2 LT ROSE,6.0,1.0,9.0,37.5
IVORY CHANDELIER T-LIGHT HOLDER,336.0,4.0,561.0,37.41648106904232
BLUE  DIAMANTE PEN IN GIFT BOX,36.0,1.0,61.0,36.734693877551024
ROSE COLOUR PAIR HEART HAIR SLIDES,4.0,1.0,6.0,36.36363636363637
BEADED CHANDELIER T-LIGHT HOLDER,337.0,5.0,599.0,35.965848452508006
FLOWERS CHANDELIER T-LIGHT HOLDER,483.0,6.0,866.0,35.77777777777777
Manual,3995.0,154.0,7179.0,35.749440715883665
BLUE TILED TRAY,5.0,1.0,8.0,35.714285714285715
BLUE  VOILE LAMPSHADE,48.0,1.0,86.0,35.55555555555556
DIAMANTE HAIR GRIP PACK/2 RUBY,6.0,1.0,10.0,35.294117647058826
PAIR OF PINK FLOWER CLUSTER SLIDE,6.0,1.0,10.0,35.294117647058826
SWEETHEART CARRY-ALL BASKET,2.0,1.0,3.0,33.33333333333333
SET 10 CARDS HANGING BAUBLES 17080,1.0,1.0,1.0,33.33333333333333
MIRROR MOSAIC GOBLET CANDLE HOLDER,240.0,1.0,506.0,32.1285140562249
MIDNIGHT BLUE VINTAGE EARRINGS,8.0,1.0,16.0,32.0
MIRROR MOSAIC T-LIGHT HOLDER ,720.0,1.0,1533.0,31.943212067435674
PINK ENAMEL FLOWER HAIR TIE,6.0,1.0,12.0,31.57894736842105
PACK OF 12 CHRISTMAS FUN CARDS,23.0,2.0,49.0,31.506849315068493
HERB MARKER BASIL,1527.0,2.0,3329.0,31.43915997529339
"FOLK ART GREETING CARD,pack/12",11.0,1.0,23.0,31.428571428571427
ZINC TOP  2 DOOR WOODEN SHELF ,5.0,2.0,10.0,31.25
BLUE ROSE PATCH PURSE PINK BUTTERFL,15.0,1.0,32.0,31.25
OFFICE MUG WARMER PINK,250.0,1.0,553.0,31.094527363184078
GREEN PAIR HEART HAIR SLIDES,4.0,1.0,8.0,30.76923076923077
EDWARDIAN DROP EARRINGS JET BLACK,4.0,1.0,8.0,30.76923076923077
WHITE TALL PORCELAIN T-LIGHT HOLDER,292.0,2.0,673.0,30.22774327122153
DANISH ROSE BEDSIDE CABINET,6.0,5.0,13.0,30.0
DROP DIAMANTE EARRINGS CRYSTAL,6.0,1.0,13.0,30.0
MIRROR MOSAIC HURRICANE LAMP ,121.0,2.0,286.0,29.65686274509804
MIRROR MOSAIC T-LIGHT HOLDER ROUND,482.0,3.0,1165.0,29.247572815533978
OCEAN SCENT CANDLE IN JEWELLED BOX,400.0,5.0,968.0,29.218407596785973
SILVER T-LIGHT SETTING,37.0,1.0,91.0,28.68217054263566
SMALL WHITE RETROSPOT MUG IN BOX ,286.0,5.0,711.0,28.65731462925852
JET BLACK LAS VEGAS NECKLACE 45CM,2.0,1.0,4.0,28.57142857142857
NEW BAROQUE B'FLY NECKLACE RED,2.0,1.0,4.0,28.57142857142857
VINTAGE KEEPSAKE BOX PINK FLOWER,2.0,1.0,4.0,28.57142857142857
MIRROR MOSAIC VOTIVE HOLDER,324.0,1.0,837.0,27.882960413080895
VINTAGE BILLBOARD TEA MUG,701.0,1.0,1868.0,27.276264591439688
WHITE FRANGIPANI NECKLACE,6.0,1.0,15.0,27.27272727272727
BEACH HUT DESIGN BLACKBOARD,13.0,2.0,34.0,27.083333333333332
VANILLA SCENT CANDLE JEWELLED BOX,505.0,4.0,1375.0,26.847421584263692
SMALL RED RETROSPOT MUG IN BOX ,296.0,5.0,874.0,25.27754056362084
DROP DIAMANTE EARRINGS PURPLE,6.0,1.0,17.0,25.0
RUBY GLASS CLUSTER BRACELET,3.0,1.0,8.0,25.0
CLASSIC DIAMANTE NECKLACE JET,1.0,1.0,2.0,25.0
GOLD MINI TAPE MEASURE ,300.0,1.0,918.0,24.61033634126333
FELTCRAFT DOLL MOLLY,1447.0,5.0,4469.0,24.454960283927665
CARD HOLDER GINGHAM HEART,195.0,3.0,605.0,24.344569288389515
36 PENCILS TUBE POSY,9.0,1.0,27.0,24.324324324324326
CINDERELLA CHANDELIER ,71.0,10.0,220.0,24.315068493150687
FAIRY CAKE FLANNEL ASSORTED COLOUR,3150.0,3.0,10082.0,23.804126048515077
BASKET OF TOADSTOOLS,408.0,1.0,1322.0,23.570190641247834
IVY HEART WREATH,4.0,1.0,12.0,23.52941176470588
MIDNIGHT BLUE PAIR HEART HAIR SLIDE,4.0,1.0,12.0,23.52941176470588
PAPERWEIGHT SAVE THE PLANET,100.0,1.0,329.0,23.25581395348837
COOKING SET RETROSPOT,20.0,3.0,66.0,22.988505747126435
PINK HEARTS PAPER GARLAND,50.0,1.0,168.0,22.831050228310502
BLUE CHENILLE SHAGGY CUSHION COVER ,13.0,2.0,43.0,22.807017543859647
BLUE ROSE FABRIC MIRROR,120.0,1.0,409.0,22.641509433962266
S/15 SILVER GLASS BAUBLES IN BAG,144.0,1.0,502.0,22.256568778979908
CRACKED GLAZE NECKLACE IVORY,2.0,1.0,6.0,22.22222222222222
GLASS JAR MARMALADE ,130.0,4.0,454.0,22.22222222222222
AMBER DROP EARRINGS W LONG BEADS,6.0,1.0,20.0,22.22222222222222
BAKING MOULD ROSE WHITE CHOCOLATE,72.0,1.0,258.0,21.75226586102719
WINE BOTTLE DRESSING DARK BLUE,12.0,1.0,43.0,21.428571428571427
SPRIG LAVENDER ARTIFICIAL FLOWER,60.0,2.0,220.0,21.352313167259787
AMBER DIAMANTE EXPANDABLE RING,6.0,1.0,22.0,20.689655172413794
CHRISTMAS GINGHAM HEART,144.0,1.0,552.0,20.65997130559541
ROSE 1 WICK MORRIS BOXED CANDLE,193.0,3.0,742.0,20.61965811965812
PINK BLUE FELT CRAFT TRINKET BOX,2617.0,4.0,10225.0,20.37685898933271
DAISY HAIR BAND,12.0,1.0,46.0,20.33898305084746
SET/3 POT PLANT CANDLES,14.0,4.0,54.0,20.28985507246377
"RUSTIC WOODEN CABINET, GLASS DOORS",1.0,1.0,3.0,20.0
SILVER ROCCOCO CHANDELIER,3.0,2.0,11.0,20.0
HANGING FAIRY CAKE DECORATION,179.0,5.0,724.0,19.800884955752213
EAU DE NILE JEWELLED PHOTOFRAME,73.0,2.0,297.0,19.67654986522911
IVORY DINER WALL CLOCK,344.0,16.0,1426.0,19.424054206662902
MARIE ANTOINETTE TRINKET BOX GOLD,76.0,4.0,316.0,19.338422391857506
ROCOCO WALL MIRROR WHITE,18.0,12.0,75.0,19.148936170212767
VINTAGE NOTEBOOK TRAVELOGUE,6.0,1.0,25.0,18.75
BOYS ALPHABET IRON ON PATCHES,288.0,1.0,1248.0,18.73780091086532
VINTAGE BLUE KITCHEN CABINET,6.0,6.0,26.0,18.181818181818183
LONG SILVER NECKLACE PASTEL FLOWER,2.0,1.0,8.0,18.181818181818183
CAKE STAND VICTORIAN FILIGREE LARGE,2.0,2.0,8.0,18.181818181818183
PAIR OF ENAMEL BUTTERFLY HAIRCLIP,4.0,1.0,17.0,18.181818181818183
CHARLIE LOLA BLUE HOT WATER BOTTLE ,21.0,1.0,94.0,18.103448275862068
MARIE ANTOINETTE TRINKET BOX SILVER,72.0,2.0,326.0,18.045112781954884
PURPLE BOUDICCA LARGE BRACELET,7.0,1.0,31.0,17.94871794871795
CORDIAL GLASS JUG,7.0,3.0,31.0,17.94871794871795
PAPER POCKET TRAVELING FAN ,1385.0,4.0,6419.0,17.74503523382447
CRYSTAL PAIR HEART HAIR SLIDES,4.0,1.0,18.0,17.391304347826086
COLOUR GLASS. STAR T-LIGHT HOLDER,1174.0,24.0,5655.0,17.18887262079063
COTTON APRON PANTRY DESIGN,126.0,11.0,607.0,17.166212534059948
NECKLACE+BRACELET PINK BUTTERFLY,6.0,1.0,28.0,17.142857142857142
MOROCCAN BEATEN METAL DISH,3.0,1.0,14.0,16.666666666666664
SET/3 VANILLA SCENTED CANDLE IN BOX,134.0,10.0,669.0,16.666666666666664
CABIN BAG VINTAGE PAISLEY,13.0,2.0,64.0,16.666666666666664
BLUE EASTER EGG HUNT START POST,2.0,2.0,9.0,16.666666666666664
PINK HANGING HEART T-LIGHT HOLDER,164.0,3.0,823.0,16.599190283400812
HOME SWEET HOME MUG,1052.0,15.0,5347.0,16.4375
DOORMAT FAIRY CAKE,674.0,3.0,3429.0,16.42300194931774
3 TIER CAKE TIN RED AND CREAM,128.0,14.0,652.0,16.389244558258643
GIRAFFE WOODEN RULER,708.0,5.0,3710.0,16.021724372029873
FELT EGG COSY LADYBIRD ,49.0,1.0,256.0,16.013071895424837
PAPER LANTERN 5 POINT STAR MOON ,20.0,1.0,106.0,15.748031496062993
BAKING MOULD EASTER EGG MILK CHOC,156.0,2.0,876.0,15.10164569215876
RED RETROSPOT CAKE STAND,321.0,41.0,1809.0,15.063350539652745
GIN + TONIC DIET METAL SIGN,2030.0,7.0,11519.0,14.981549815498155
SMALLFOLKART BAUBLE CHRISTMAS DEC,96.0,1.0,558.0,14.656488549618322
CAROUSEL DESIGN WASHBAG,9.0,5.0,52.0,14.516129032258066
RED RETROSPOT PUDDING BOWL,55.0,7.0,327.0,14.360313315926893
FRUIT TREE AND BIRDS WALL PLAQUE,3.0,2.0,17.0,14.285714285714285
PINK DIAMANTE PEN IN GIFT BOX,12.0,1.0,72.0,14.117647058823529
VINTAGE RED KITCHEN CABINET,10.0,8.0,60.0,14.084507042253522
ALPHABET STENCIL CRAFT,432.0,1.0,2673.0,13.90856406954282
CARDHOLDER GINGHAM CHRISTMAS TREE,59.0,6.0,374.0,13.594470046082948
TWO DOOR CURIO CABINET,33.0,13.0,210.0,13.524590163934427
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,152.0,2.0,976.0,13.46324180690877
RED FLORAL FELTCRAFT SHOULDER BAG,289.0,2.0,1876.0,13.342566943674978
SQUARE CHERRY BLOSSOM CABINET,20.0,3.0,129.0,13.333333333333334
BLUE BLOSSOM HAIR CLIP,10.0,1.0,64.0,13.333333333333334
MA CAMPAGNE CUTLERY BOX,21.0,8.0,138.0,13.125
SCHOOL DESK AND CHAIR ,3.0,2.0,19.0,13.043478260869565
PACK 3 BOXES CHRISTMAS PANETTONE,6.0,1.0,39.0,13.043478260869565
ASSTD DESIGN RACING CAR PEN,185.0,5.0,1252.0,12.86509040333797
CAKE STAND 3 TIER MAGIC GARDEN,45.0,11.0,308.0,12.711864406779661
REVOLVER WOODEN RULER ,710.0,7.0,4917.0,12.61549395877754
VICTORIAN SEWING BOX LARGE,61.0,18.0,425.0,12.525667351129362
FELTCRAFT BUTTERFLY HEARTS,877.0,8.0,6127.0,12.519628836545325
RETRO PLASTIC ELEPHANT TRAY,158.0,13.0,1105.0,12.5
12 PINK HEN+CHICKS IN BASKET,6.0,1.0,41.0,12.5
SILVER BLACK ORBIT DROP EARRINGS,1.0,1.0,6.0,12.5
MONTANA DIAMOND CLUSTER EARRINGS,1.0,1.0,6.0,12.5
DECORATIVE HANGING SHELVING UNIT,1.0,1.0,6.0,12.5
VINTAGE NOTEBOOK PARIS DAYS,12.0,2.0,85.0,12.244897959183673
HANGING BAUBLE T-LIGHT HOLDER SMALL,36.0,1.0,259.0,12.162162162162163
BAKING MOULD TOFFEE CUP CHOCOLATE,120.0,2.0,866.0,12.158054711246201
FRIDGE MAGNETS LES ENFANTS ASSORTED,176.0,6.0,1281.0,12.071330589849108
RUSTIC STRAWBERRY JAM POT LARGE ,35.0,2.0,261.0,11.784511784511785
LARGE BLUE PROVENCAL CERAMIC BALL,6.0,2.0,44.0,11.76470588235294
PACKING CHARGE,2.0,2.0,14.0,11.76470588235294
VINTAGE RED TEATIME MUG,27.0,3.0,203.0,11.688311688311687
FRIDGE MAGNETS LA VIE EN ROSE,157.0,4.0,1188.0,11.664190193164933
FOLKART HEART NAPKIN RINGS,24.0,1.0,181.0,11.650485436893204
SPACEBOY TV DINNER TRAY,32.0,1.0,244.0,11.552346570397113
CHRISTMAS LIGHTS 10 SANTAS ,76.0,12.0,581.0,11.55015197568389
GLASS JAR DIGESTIVE BISCUITS,67.0,14.0,519.0,11.41396933560477
SAVE THE PLANET MUG,673.0,11.0,5265.0,11.331874052870853
CHILDS BREAKFAST SET DOLLY GIRL ,84.0,7.0,657.0,11.320754716981133
DIAMANTE NECKLACE PURPLE,1.0,1.0,7.0,11.11111111111111
CUPBOARD 3 DRAWER MA CAMPAGNE,18.0,7.0,145.0,10.975609756097562
VICTORIAN SEWING KIT,289.0,5.0,2371.0,10.860578729800826
GLASS JAR ENGLISH CONFECTIONERY,105.0,16.0,886.0,10.58467741935484
SET OF 36 SPACEBOY PAPER DOILIES,6.0,1.0,50.0,10.526315789473683
SILVER CHRISTMAS TREE BAUBLE STAND ,4.0,3.0,33.0,10.526315789473683
HOT WATER BOTTLE I AM SO POORLY,346.0,5.0,2972.0,10.424826755046702
SET OF 72 GREEN PAPER DOILIES,5.0,1.0,42.0,10.416666666666668
PAINT YOUR OWN CANVAS SET,273.0,4.0,2354.0,10.388127853881278
ASSORTED TUTTI FRUTTI HEART BOX,25.0,2.0,215.0,10.37344398340249
VINTAGE COFFEE GRINDER BOX,12.0,1.0,103.0,10.344827586206897
CHARLIE+LOLA RED HOT WATER BOTTLE ,20.0,1.0,174.0,10.256410256410255
FAIRY CAKE BIRTHDAY CANDLE SET,49.0,12.0,428.0,10.251046025104603
SWEET HEART CAKE CARRIER,9.0,6.0,78.0,10.227272727272728
PLASMATRONIC LAMP,6.0,3.0,52.0,10.16949152542373
RED ENAMEL FLOWER RING,6.0,1.0,52.0,10.16949152542373
GARDEN METAL SIGN ,12.0,1.0,105.0,10.16949152542373
ANTIQUE IVORY WIRE BOWL SMALL,11.0,2.0,97.0,10.091743119266056
VINTAGE RED TRIM ENAMEL BOWL ,121.0,8.0,1079.0,10.074937552039968
BLUE NEW BAROQUE CANDLESTICK CANDLE,49.0,5.0,439.0,10.020449897750511
5 STRAND GLASS NECKLACE CRYSTAL,2.0,1.0,17.0,10.0
CRYSTAL STUD EARRINGS CLEAR DISPLAY,36.0,1.0,324.0,9.97229916897507
BLUE CIRCLES DESIGN MONKEY DOLL,7.0,2.0,63.0,9.859154929577464
FRIDGE MAGNETS US DINER ASSORTED,162.0,4.0,1482.0,9.848024316109424
REGENCY TEA PLATE ROSES ,718.0,12.0,6575.0,9.843707156567042
CLEAR MILKSHAKE GLASS,4.0,1.0,36.0,9.75609756097561
VICTORIAN  METAL POSTCARD SPRING,292.0,2.0,2708.0,9.730089970009995
BLACK ENAMEL FLOWER RING,7.0,2.0,64.0,9.722222222222223
SWEETHEART 3 TIER CAKE STAND ,24.0,11.0,222.0,9.7165991902834
BAKING MOULD ROSE MILK CHOCOLATE,72.0,1.0,673.0,9.651474530831099
SET 2 TEA TOWELS I LOVE LONDON ,208.0,8.0,1953.0,9.620721554116558
FELTCRAFT 6 FLOWER FRIENDS,623.0,9.0,5890.0,9.564015965612526
YELLOW EASTER EGG HUNT START POST,8.0,2.0,75.0,9.523809523809524
BLUE  TILE HOOK,9.0,2.0,85.0,9.473684210526317
STRIPES DESIGN TEDDY,6.0,1.0,57.0,9.375
FILIGREE HEART BIRD WHITE ,144.0,1.0,1397.0,9.33852140077821
GLITTER HEART GARLAND WITH BELLS ,30.0,3.0,291.0,9.316770186335404
SET OF 6 KASHMIR FOLKART BAUBLES,58.0,2.0,564.0,9.309791332263243
JIGSAW TOADSTOOLS 3 PIECE,64.0,5.0,623.0,9.30232558139535
HELLO SAILOR BLUE SOAP HOLDER,16.0,1.0,155.0,9.30232558139535
CAKE STAND LOVEBIRD 2 TIER WHITE,22.0,9.0,214.0,9.282700421940929
SILVER ROCOCO CANDLE STICK,15.0,3.0,146.0,9.25925925925926
ROUND SNACK BOXES SET OF 4 FRUITS ,656.0,15.0,6481.0,9.190249369571308
HEART GARLAND RUSTIC PADDED,11.0,2.0,108.0,9.166666666666666
CHARLIE + LOLA RED HOT WATER BOTTLE,66.0,4.0,654.0,9.153952843273231
PAPER LANTERN 7 POINT SNOW STAR,10.0,1.0,99.0,9.090909090909092
SILVER BRACELET W PASTEL FLOWER,2.0,1.0,19.0,9.090909090909092
BOTANICAL LILY GIFT WRAP,25.0,1.0,250.0,9.057971014492754
PHOTO FRAME 3 CLASSIC HANGING,55.0,22.0,554.0,9.01639344262295
MAGIC SHEEP WOOL GROWING FROM PAPER,120.0,1.0,1212.0,9.00225056264066
TRAVEL CARD WALLET PANTRY,184.0,4.0,1862.0,8.98876404494382
SET/4 WHITE RETRO STORAGE CUBES ,35.0,8.0,357.0,8.9058524173028
MILK MAIDS MUG ,20.0,4.0,204.0,8.88888888888889
PAPER LANTERN 9 POINT SNOW STAR,24.0,1.0,246.0,8.856088560885608
RED RETROSPOT PEG BAG,238.0,13.0,2460.0,8.818080770655797
PARTY CONE CHRISTMAS DECORATION ,145.0,2.0,1505.0,8.782556026650514
DOLLY CABINET 3 DRAWERS ,5.0,4.0,51.0,8.771929824561402
GREEN CHRISTMAS TREE STRING 20LIGHT,4.0,1.0,41.0,8.695652173913043
MULTICOLOUR 3D BALLS GARLAND,20.0,3.0,209.0,8.695652173913043
CHEST OF DRAWERS GINGHAM HEART ,14.0,10.0,146.0,8.695652173913043
SAVOY ART DECO CLOCK,22.0,12.0,231.0,8.661417322834646
GLITTER HANGING BUTTERFLY STRING,120.0,6.0,1265.0,8.658008658008658
GLASS JAR PEACOCK BATH SALTS,33.0,7.0,349.0,8.616187989556137
STRIPEY CHOCOLATE NESTING BOXES,24.0,1.0,256.0,8.540925266903916
RETROSPOT CANDLE  SMALL,36.0,2.0,385.0,8.530805687203792
SMALL CERAMIC TOP STORAGE JAR ,525.0,9.0,5666.0,8.478682170542635
POPART RECT PENCIL SHARPENER ASST,108.0,1.0,1166.0,8.470588235294118
ORGANISER WOOD ANTIQUE WHITE ,13.0,9.0,140.0,8.441558441558442
BAKING MOULD HEART MILK CHOCOLATE,96.0,1.0,1041.0,8.43585237258348
FELTCRAFT CUSHION OWL,302.0,7.0,3284.0,8.419291887371063
GUMBALL MAGAZINE RACK,49.0,13.0,533.0,8.404802744425385
SET OF 3 COLOURED  FLYING DUCKS,36.0,8.0,393.0,8.372093023255815
HEART T-LIGHT HOLDER,13.0,2.0,142.0,8.333333333333332
CHUNKY SILVER NECKLACE PASTEL FLOWE,2.0,1.0,21.0,8.333333333333332
HEART WOODEN CHRISTMAS DECORATION,192.0,1.0,2124.0,8.2865774708675
VINTAGE DOILY DELUXE SEWING KIT ,65.0,11.0,726.0,8.207070707070708
PINK METAL CHICKEN HEART ,60.0,3.0,671.0,8.19672131147541
CERAMIC CAKE STAND + HANGING CAKES,50.0,25.0,562.0,8.156606851549755
"BLACK TEA,COFFEE,SUGAR JARS",40.0,6.0,451.0,8.130081300813007
DOLLY CABINET 2 DRAWERS ,3.0,2.0,33.0,8.108108108108109
WOOD 2 DRAWER CABINET WHITE FINISH,206.0,40.0,2341.0,8.084772370486656
ENAMEL BLUE RIM COFFEE CONTAINER,13.0,2.0,147.0,8.074534161490684
PINK/BLUE DISC/MIRROR STRING,48.0,1.0,551.0,8.0
SET OF 6 NATIVITY MAGNETS ,240.0,1.0,2783.0,7.936507936507936
SET/2 RED RETROSPOT TEA TOWELS ,200.0,2.0,2319.0,7.936507936507936
MULTICOLOUR  CONFETTI IN TUBE,21.0,1.0,243.0,7.9245283018867925
GLASS CLOCHE SMALL,64.0,18.0,755.0,7.804878048780488
DOORMAT MERRY CHRISTMAS RED ,52.0,2.0,614.0,7.796101949025487
MOBILE VINTAGE HEARTS ,13.0,6.0,153.0,7.784431137724551
12 PENCILS SMALL TUBE SKULL,566.0,3.0,6734.0,7.752362690042459
BLUE PATCH PURSE PINK HEART,14.0,1.0,166.0,7.734806629834254
TEA FOR ONE POLKADOT,29.0,17.0,345.0,7.733333333333333
PICNIC BASKET WICKER LARGE,100.0,17.0,1194.0,7.722007722007722
"FEATHER PEN,COAL BLACK",206.0,4.0,2462.0,7.718246534282502
BLUE WIRE SPIRAL CANDLE HOLDER,1.0,1.0,11.0,7.6923076923076925
BLACK VINTAGE  CRYSTAL EARRINGS,1.0,1.0,11.0,7.6923076923076925
JADE DROP EARRINGS W FILIGREE,2.0,1.0,23.0,7.6923076923076925
FRENCH STYLE EMBOSSED HEART CABINET,2.0,2.0,23.0,7.6923076923076925
PURPLE ENAMEL FLOWER RING,4.0,1.0,47.0,7.6923076923076925
RUSTIC  SEVENTEEN DRAWER SIDEBOARD,3.0,3.0,35.0,7.6923076923076925
CERAMIC PLATE STRAWBERRY DESIGN,48.0,4.0,578.0,7.655502392344498
FELTCRAFT CUSHION RABBIT,245.0,3.0,3018.0,7.506127450980392
PARISIENNE SEWING BOX,24.0,16.0,296.0,7.476635514018691
DAIRY MAID TOASTRACK,61.0,8.0,756.0,7.45721271393643
KNICKERBOCKERGLORY MAGNET ASSORTED ,169.0,14.0,2106.0,7.425307557117751
BLUE MONTE CARLO HANDBAG,2.0,1.0,24.0,7.4074074074074066
JIGSAW TREE WITH BIRDHOUSE,69.0,9.0,869.0,7.348242811501597
NOVELTY BISCUITS CAKE STAND 3 TIER,29.0,12.0,366.0,7.3232323232323235
FLAG OF ST GEORGE CHAIR,3.0,2.0,37.0,7.317073170731707
CHRISTMAS TREE DECORATION WITH BELL,36.0,1.0,457.0,7.28744939271255
DAIRY MAID TRADITIONAL TEAPOT ,14.0,10.0,179.0,7.216494845360824
SEWING BOX RETROSPOT DESIGN ,16.0,2.0,205.0,7.207207207207207
SWEETHEART CAKESTAND 3 TIER,69.0,29.0,892.0,7.172557172557173
PINK SMALL JEWELLED PHOTOFRAME,1.0,1.0,12.0,7.142857142857142
PARISIENNE KEY CABINET ,51.0,28.0,664.0,7.12290502793296
"GREETING CARD, STICKY GORDON",12.0,1.0,157.0,7.0588235294117645
36 FOIL HEART CAKE CASES,152.0,3.0,2003.0,7.050092764378478
PARLOUR CERAMIC WALL HOOK,34.0,6.0,448.0,7.039337474120083
SET 7 BABUSHKA NESTING BOXES,124.0,5.0,1654.0,6.970207982012367
WHITE HEART CONFETTI IN TUBE,72.0,2.0,964.0,6.943105110896817
TRIPLE WIRE HOOK IVORY HEART,12.0,1.0,160.0,6.9364161849710975
SKULLS DESIGN FLANNEL,12.0,1.0,161.0,6.896551724137931
SMALL PINK GLASS SUNDAE DISH,68.0,2.0,917.0,6.896551724137931
FAIRY CAKES NOTEBOOK A6 SIZE,95.0,2.0,1288.0,6.864161849710983
JARDIN ETCHED GLASS FRUITBOWL,9.0,3.0,123.0,6.7669172932330826
RED RETROSPOT TRADITIONAL TEAPOT ,34.0,21.0,468.0,6.759443339960239
SKULLS  DESIGN  COTTON TOTE BAG,12.0,1.0,165.0,6.741573033707865
BLUE JUICY FRUIT PHOTO FRAME,6.0,1.0,82.0,6.741573033707865
SMALL BONNE JAM JAR  T-LIGHT HOLDER,30.0,2.0,416.0,6.7114093959731544
FELTCRAFT CUSHION BUTTERFLY,194.0,3.0,2698.0,6.70584168683028
PIZZA PLATE IN BOX,21.0,4.0,293.0,6.666666666666667
ADVENT CALENDAR GINGHAM SACK,60.0,3.0,840.0,6.659267480577137
WHITE ROCKING HORSE HAND PAINTED,200.0,4.0,2803.0,6.657789613848203
DENIM PATCH PURSE PINK BUTTERFLY,10.0,1.0,140.0,6.622516556291391
PURPLE ENAMEL+GLASS HAIR COMB,6.0,1.0,84.0,6.593406593406594
